lowercase,forms,if_interesting,
age',age',0,
'aesthetic,'aesthetic,0,
gard'ner,gard'ner,1,
holy',holy',0,
he'ss,he'ss hE'SS,1,
liv'st,liv'st,1,
'bond,'Bond,0,
shouldn't—if,shouldn't—if,0,
gone—there's,gone—there's,0,
m'sorry,M'sorry m'sorry,1,
s'dangerous,S'dangerous s'dangerous,1,
never—i'm,never—I'm,0,
thousand',thousand',0,
i—d'you,I—d'you,1,
i—i-i'm,I—I-I'm,0,
spies',spies',0,
was',was',0,
cool',cool',0,
doesn',doesn',1,
it'',it'',0,
element',element',0,
hunters',hunters',0,
'hello,'Hello 'hello 'HELLO,0,
person-who's-not-a-person,person-who's-not-a-person,0,
m'boss,M'boss,1,
tidiness',tidiness',0,
'playing,'playing 'Playing,0,
fyre',fyre',1,
'last,'last 'Last,0,
week',week',0,
h'lo,h'lo H'lo,1,
'member,'member 'Member,0,
'sweet,'Sweet 'sweet,0,
'having,'Having 'having,0,
crushes',crushes',0,
forever',forever',0,
long',long',0,
