lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
jus'a,jus'a,1.0,,1,
'mmmm's,'mmmm's,1.0,,1,
se',se',1.0,,1,
'c'mere,'C'mere,1.0,,1,
m'ami,m'ami,1.0,,1,
s'ok,S'ok s'ok S'OK,1.0,,3,
ssss'good,ssss'good,1.0,,1,hiss
ana'diel,ana'diel,1.0,,1,
m'wha,M'wha,1.0,,1,
exac'ly,exac'ly,1.0,,1,
s'different,s'different S'different,1.0,,2,
could--er--'revive',could--er--'revive',1.0,,1,
mama'zzz,mama'zzz,1.0,,1,buzz
's'nice,'S'nice,1.0,,1,
g'wannn,G'wannn,1.0,,1,
everyone'd,everyone'd,1.0,,1,would
y'sure,Y'sure y'sure,1.0,,2,
m'hips,m'hips,1.0,,1,
l'yuh,L'yuh,1.0,,1,
t'you,t'you,1.0,,1,
what'sss,what'sss,1.0,,1,hiss
she'zz,she'zz,1.0,,1,buzz
'zzziraphale,'Zzziraphale,1.0,,1,buzz
'd’,'d’,1.0,,1,
t'be,t'be,1.0,,1,
bes',bes',1.0,,1,
f'rever,f'rever,1.0,,1,
y'r’,Y'r’,1.0,,1,
'och,'och,1.0,,1,
y'go,y'go,1.0,,1,
y'mad,y'mad,1.0,,1,
how're,how're,1.0,,1,
y-you're,y-you're,1.0,,1,
'tsokay,'tsokay,1.0,,1,
'fanta-wot,'Fanta-wot,1.0,,1,
google-fu'd,google-fu'd,1.0,,1,would
nothing—s'a,nothing—s'a,1.0,,1,
him's',him's',1.0,,1,
anym're,anym're,1.0,,1,
ev'ryday's,ev'ryday's,1.0,,1,
depriv'd,depriv'd,1.0,??,1,would
work'en,work'en,1.0,,1,
i'ave,I'ave,1.0,,1,
'da,'Da,1.0,,1,
need'a,need'a,1.0,,1,
look'at,look'at,1.0,,1,
have'em,have'em,1.0,,1,
in'er,in'er,1.0,,1,
'da's,'Da's 'da's,1.0,,2,
par-',par-',1.0,,1,
about'em,about'em,1.0,,1,
wot'jya,wot'jya,1.0,,1,
in'is,in'is,1.0,,1,
al'ight,al'ight,1.0,,1,
killed'im,KILLED'IM,1.0,,1,
with'im,with'im,1.0,,1,
s'kind,s'kind S'kind,1.0,,2,
y'welcome,Y'welcome,1.0,,1,
y'allright,Y'allright,1.0,,1,
m'gonna,M'gonna m'gonna,1.0,,2,
tak',tak',1.0,,1,
'bliterate,'bliterate,1.0,,1,
g'bye,G'bye,1.0,,1,
d'yo,D'yo,1.0,,1,
if'in,if'in,1.0,,1,
wit'ja,wit'ja,1.0,,1,
some'ore,some'ore,1.0,,1,
watch'im,watch'im,1.0,,1,
stay'n,stay'n,1.0,,1,
get'ere,get'ere,1.0,,1,
matter'o,matter'o,1.0,,1,
s'no,S'no s'no,1.0,,2,
dear'ol,dear'ol,1.0,,1,
need'n,need'n,1.0,,1,
see'm,see'm,1.0,,1,
need'm,need'm,1.0,,1,
get'cha,get'cha,1.0,,1,
of'a,OF'A,1.0,??,1,
show'em,show'em,1.0,,1,
wake'ya,wake'ya,1.0,,1,
hit'im,hit'im,1.0,,1,
give'ya,give'ya,1.0,,1,
bett'a,bett'a,1.0,,1,
any'athin,any'athin,1.0,,1,
did'e,did'e,1.0,,1,
tells'er,tells'er,1.0,,1,
she'as,she'as,1.0,,1,
at'chya,at'chya,1.0,,1,
lett'n,lett'n,1.0,,1,
show'n,show'n,1.0,,1,
work'wif,work'wif,1.0,,1,
'f'i'd,'f'I'd,1.0,,1,would
s'efficient,s'efficient,1.0,,1,
'm'not,'m'not 'M'not,1.0,,2,
’'re,’'re,1.0,,1,
lib'ry,lib'ry,1.0,,1,
y'heard,Y'heard,1.0,,1,
practic'ly,practic'ly,1.0,,1,
don'tcha,don'tcha,1.0,,1,
'fore,'fore 'Fore,1.0,,2,
y'must,y'must,1.0,,1,
y'knock,Y'knock,1.0,,1,
ha',ha',1.0,,1,
's'my,'S'my,1.0,,1,
biss'ness,biss'ness,1.0,,1,hiss
ca',ca',1.0,,1,
'xactly,'Xactly 'xactly,1.0,,2,
with'm,with'm,1.0,,1,
'chasssse,'Chasssse,1.0,,1,hiss
perfect-model'd,perfect-model'd,1.0,,1,would
bout',bout',1.0,,1,
the'a,the'a,1.0,,1,
it'cha,it'cha,1.0,,1,
this'ere,this'ere,1.0,,1,
an'athin,an'athin,1.0,,1,
long'd,long'd,1.0,,1,would
s'plenty,S'plenty,1.0,,1,
s'hisss,S'hisss,1.0,,1,hiss
s'nonsense,S'nonsense,1.0,,1,
s'where,S'where,1.0,,1,
s'you,S'you,1.0,,1,
'ye,'ye,1.0,,1,
